	en	fr
0	6	9
1	148	235
2	374	555
3	257	367
4	147	234
5	94	141
6	329	474
7	95	143
8	84	121
9	95	124
10	4	4
11	6	11
12	6	6
13	1	1
14	12	12
15	12	18
16	273	354
17	7	7
18	4	4
19	4	10
20	6	6
21	1	1
22	15	15
23	3	3
24	7	8
25	23	37
26	16	23
27	15	19
28	25	30
29	20	40
30	24	43
31	14	17
32	11	14
33	12	15
34	16	20
35	23	45
36	20	28
37	17	20
38	10	10
39	28	28
40	15	29
41	390	651
42	3	3
43	99	133
44	98	174
45	166	241
46	9	15
47	164	249
48	147	237
49	242	318
50	249	404
51	222	325
52	192	289
53	164	242
54	165	268
55	12	21
56	138	223
57	69	117
58	246	296
59	89	133
60	95	135
61	119	167
62	15	18
63	123	181
64	120	180
65	60	79
66	370	558
67	273	441
68	386	601
69	192	338
70	107	141
71	427	758
72	189	294
73	13	23
74	41	81
75	56	67
76	26	33
77	76	117
78	216	345
79	111	201
80	162	279
81	153	257
82	270	437
83	191	293
84	19	29
85	136	210
86	56	67
87	82	140
88	52	90
89	173	313
90	239	406
91	113	184
92	311	499
93	124	239
94	138	229
95	88	161
96	60	103
97	4	7
98	181	308
99	111	187
100	138	201
101	16	24
102	9	10
103	17	17
104	8	15
105	188	265
106	115	182
107	182	262
108	2	6
109	109	170
110	225	301
111	115	192
112	136	207
113	243	362
114	4	3
115	78	132
116	126	199
117	234	320
118	262	381
119	161	251
120	201	269
121	5	6
122	174	261
123	130	198
124	144	201
125	34	35
126	15	16
127	69	92
128	28	28
129	14	23
130	4	8
131	143	235
132	184	252
133	3	5
134	90	145
135	151	245
136	190	278
137	115	170
138	165	252
139	76	121
140	113	177
141	123	181
142	51	78
143	72	111
144	67	80
145	123	164
146	4	8
147	266	381
148	108	165
149	290	455
150	74	130
151	181	266
152	170	245
153	230	317
154	7	13
155	128	213
156	61	99
157	5	7
158	82	120
159	227	348
160	6	8
161	199	281
162	90	113
163	5	6
164	207	299
165	119	180
166	6	10
167	132	216
168	36	55
169	7	11
170	561	858
171	100	159
172	190	300
173	110	189
174	73	116
175	74	101
176	289	472
177	88	147
178	7	8
179	158	221
180	232	364
181	210	321
182	17	22
183	237	333
184	166	250
185	157	259
186	79	122
187	230	328
188	3	3
189	167	255
190	81	112
191	120	140
192	18	25
193	376	594
194	10	17
195	96	156
196	41	50
197	295	422
198	226	319
199	118	193
200	164	240
201	182	304
202	8	20
203	260	376
204	289	428
205	239	373
206	90	135
207	126	208
208	332	481
209	65	100
210	352	492
211	120	193
212	168	275
213	193	282
214	6	11
215	486	732
216	189	286
217	82	112
218	187	290
219	161	237
220	180	265
221	3	7
222	38	57
223	41	63
224	230	334
225	61	108
226	141	214
227	2	2
228	90	101
229	64	81
230	2	4
231	85	117
232	40	41
233	34	60
234	39	40
235	13	33
236	118	209
237	514	852
238	62	124
239	9	14
240	104	138
241	83	113
242	179	273
243	134	201
244	93	139
245	536	793
246	218	360
247	179	293
248	24	38
249	97	129
250	147	211
251	97	151
252	81	124
253	18	28
254	283	437
255	143	239
256	186	321
257	148	222
258	91	143
259	115	179
260	191	326
261	47	92
262	1	1
263	144	251
264	131	200
265	89	143
266	26	30
267	132	204
268	26	26
269	14	15
270	122	161
271	27	47
272	49	59
273	39	47
274	27	39
275	18	39
276	238	361
277	3	3
278	71	111
279	25	41
280	161	246
281	71	119
282	47	69
283	119	163
284	37	52
285	6	11
286	12	21
287	239	374
288	101	155
289	201	290
290	91	140
291	138	210
292	127	165
293	219	333
294	16	21
295	91	137
296	96	155
297	83	143
298	56	74
299	250	359
300	144	199
301	75	108
302	244	365
303	165	253
304	61	88
305	10	13
306	177	261
307	118	173
308	95	149
309	100	167
310	6	8
311	102	160
312	63	93
313	103	159
314	31	50
315	190	297
316	87	134
317	93	132
318	14	14
319	251	369
320	211	314
321	60	92
322	4	4
323	33	48
324	24	37
325	55	94
326	82	146
327	74	106
328	7	10
329	333	798
330	3	3
331	181	284
332	84	140
333	68	100
334	21	30
335	122	188
336	11	15
337	52	72
338	141	195
339	183	256
340	265	420
341	145	204
342	219	349
343	155	237
344	134	197
345	11	18
346	191	273
347	295	444
348	258	401
349	176	279
350	280	404
351	99	152
352	89	132
353	8	14
354	209	311
355	94	141
356	222	338
357	195	296
358	243	369
359	271	392
360	276	412
361	131	150
362	9	11
363	38	53
364	136	206
365	154	218
366	93	136
367	176	269
368	124	195
369	151	223
370	54	74
371	7	10
372	93	137
373	3	3
374	50	67
375	28	34
376	88	146
377	88	131
378	13	20
379	73	113
380	57	86
381	59	95
382	53	94
383	77	129
384	33	50
385	65	103
386	82	122
387	6	12
388	224	361
389	15	23
390	403	597
391	55	92
392	293	466
393	124	172
394	52	72
395	117	185
396	7	13
397	153	248
398	198	289
399	113	182
400	11	23
401	30	49
402	42	68
403	15	21
404	207	314
405	98	148
406	42	56
407	71	126
408	215	339
409	67	111
410	120	177
411	249	373
412	204	292
413	4	4
414	235	341
415	13	13
416	11	11
417	11	11
418	25	25
419	14	14
420	13	13
421	28	28
422	6	9
423	146	256
424	18	26
425	263	427
426	128	208
427	277	416
428	13	23
429	161	252
430	543	764
431	375	567
432	251	357
433	352	489
434	412	652
435	416	669
436	27	48
437	32	62
438	247	380
439	276	468
440	469	701
441	136	212
442	79	123
443	21	34
444	336	495
445	308	495
446	212	324
447	597	977
448	3	3
449	240	424
450	17	37
451	166	315
452	140	216
453	88	133
454	10	17
455	132	202
456	232	394
457	78	130
458	113	191
459	61	100
460	15	26
461	16	29
462	226	401
463	170	272
464	146	231
465	268	454
466	5	9
467	33	60
468	8	17
469	76	133
470	69	110
471	21	46
472	134	206
473	154	256
474	9	17
475	179	272
476	61	101
477	41	78
478	90	152
479	106	161
480	10	18
481	129	232
482	213	362
483	6	6
484	138	246
485	113	186
486	196	317
487	122	207
488	157	260
489	170	300
490	9	12
491	36	61
492	66	114
493	114	216
494	86	148
495	171	282
496	3	3
497	154	254
498	143	229
499	270	424
500	10	14
501	103	206
502	3	9
503	199	275
504	79	120
505	224	342
506	156	247
507	118	168
508	6	11
509	55	100
510	167	230
511	185	232
512	107	149
513	10	13
514	152	224
515	171	253
516	70	109
517	2	5
518	129	180
519	146	230
520	116	183
521	250	339
522	168	253
523	117	177
524	3	4
525	133	184
526	126	191
527	220	317
528	109	178
529	195	289
530	102	165
531	326	425
532	124	184
533	8	16
534	209	347
535	81	115
536	138	204
537	240	326
538	3	3
539	134	213
540	93	113
541	40	52
542	75	101
543	14	21
544	139	231
545	12	25
546	117	182
547	209	322
548	153	254
549	331	539
550	114	172
551	82	135
552	121	157
553	10	14
554	157	234
555	160	256
556	378	596
557	144	215
558	14	19
559	342	478
560	257	378
561	222	331
562	300	450
563	56	92
564	22	30
565	100	147
566	221	331
567	292	439
568	194	290
569	230	347
570	235	357
571	318	490
572	174	258
573	199	303
574	12	20
575	195	279
576	267	389
577	314	476
578	146	211
579	14	20
580	268	386
581	363	527
582	17	21
583	295	414
584	173	258
585	9	10
586	154	216
587	146	201
588	375	503
589	205	265
590	156	228
591	276	379
592	209	292
593	75	100
594	11	20
595	180	283
596	161	251
597	286	392
598	341	501
599	188	302
600	276	436
601	170	227
602	3	3
603	195	306
604	10	13
605	197	317
606	3	3
607	319	509
608	383	556
609	325	446
610	240	341
611	194	286
612	161	226
613	12	19
614	505	651
615	254	361
616	815	1158
617	10	14
618	317	452
619	340	458
620	359	491
621	151	216
622	130	180
623	7	9
624	373	546
625	272	396
626	103	158
627	5	7
628	453	641
629	112	160
630	9	9
631	207	343
632	236	375
633	122	192
634	2	4
635	19	26
636	9	15
637	137	199
638	179	236
639	83	106
640	210	310
641	182	254
642	9	14
643	155	199
644	249	315
645	256	314
646	74	111
647	318	418
648	490	648
649	116	133
650	207	303
651	283	386
652	99	139
653	251	309
654	228	318
655	71	93
656	6	9
657	213	291
658	75	105
659	87	119
660	541	732
661	344	476
662	99	145
663	207	273
664	73	104
665	85	122
666	110	149
667	140	213
668	95	130
