	en	fr
0	6	9
1	17	17
2	14	27
3	21	32
4	19	30
5	35	48
6	34	61
7	9	21
8	29	45
9	11	15
10	29	35
11	16	23
12	40	65
13	28	46
14	31	53
15	31	37
16	45	71
17	23	28
18	30	52
19	35	50
20	13	18
21	13	17
22	14	21
23	28	46
24	18	28
25	80	114
26	54	68
27	43	64
28	20	27
29	13	19
30	39	63
31	37	63
32	10	15
33	37	52
34	12	23
35	18	28
36	38	58
37	27	35
38	11	20
39	21	29
40	35	58
41	52	79
42	13	25
43	27	40
44	22	38
45	18	24
46	41	46
47	39	58
48	31	40
49	9	12
50	21	26
51	29	44
52	40	61
53	26	38
54	5	7
55	31	58
56	32	37
57	16	19
58	31	37
59	21	25
60	29	44
61	14	18
62	4	4
63	6	11
64	6	6
65	1	1
66	12	12
67	12	18
68	35	41
69	63	73
70	25	34
71	32	37
72	53	65
73	9	13
74	21	36
75	34	55
76	7	7
77	4	4
78	4	10
79	6	6
80	1	1
81	15	15
82	3	3
83	7	8
84	23	37
85	16	23
86	15	19
87	25	30
88	14	23
89	6	17
90	13	22
91	11	21
92	14	17
93	11	14
94	12	15
95	16	20
96	23	45
97	20	28
98	17	20
99	10	10
100	28	28
101	15	29
102	24	38
103	26	46
104	53	94
105	56	89
106	9	9
107	41	76
108	9	9
109	10	23
110	25	36
111	47	87
112	28	47
113	11	20
114	9	9
115	42	70
116	3	3
117	36	53
118	63	81
119	11	16
120	14	25
121	23	38
122	21	34
123	29	61
124	37	52
125	35	48
126	47	69
127	47	73
128	9	15
129	69	92
130	35	64
131	9	15
132	51	78
133	37	59
134	53	70
135	14	24
136	43	84
137	48	67
138	91	119
139	103	132
140	57	90
141	37	61
142	41	61
143	32	56
144	82	136
145	42	69
146	82	107
147	21	28
148	33	60
149	44	61
150	19	35
151	40	55
152	59	93
153	37	57
154	37	49
155	9	17
156	28	41
157	10	17
158	70	98
159	47	69
160	165	268
161	12	21
162	106	175
163	32	48
164	69	117
165	98	80
166	31	44
167	47	67
168	29	36
169	41	69
170	89	133
171	95	135
172	24	31
173	51	73
174	44	63
175	15	18
176	66	113
177	57	68
178	120	180
179	60	79
180	85	109
181	19	33
182	72	119
183	38	51
184	18	27
185	31	46
186	29	44
187	15	33
188	37	49
189	26	47
190	18	24
191	60	85
192	70	122
193	82	120
194	43	91
195	45	78
196	39	49
197	57	91
198	90	132
199	77	126
200	78	125
201	35	67
202	40	69
203	32	55
204	39	72
205	28	46
206	19	29
207	107	141
208	127	235
209	18	23
210	42	65
211	54	92
212	27	52
213	47	90
214	52	95
215	60	106
216	41	67
217	23	35
218	55	93
219	35	54
220	35	45
221	13	23
222	41	81
223	56	67
224	26	33
225	31	38
226	17	27
227	29	52
228	6	8
229	13	21
230	17	25
231	16	23
232	41	52
233	16	30
234	26	44
235	7	11
236	23	42
237	21	39
238	29	49
239	43	81
240	46	78
241	22	42
242	35	45
243	97	179
244	13	27
245	17	28
246	81	146
247	30	43
248	30	50
249	12	18
250	72	117
251	26	42
252	31	47
253	141	231
254	81	108
255	57	89
256	21	39
257	32	57
258	19	29
259	86	127
260	23	46
261	27	37
262	56	67
263	50	75
264	9	17
265	23	49
266	52	90
267	24	36
268	78	157
269	30	44
270	15	27
271	26	49
272	46	78
273	65	112
274	19	36
275	61	103
276	30	41
277	18	36
278	25	51
279	54	87
280	34	46
281	44	66
282	58	106
283	82	126
284	32	47
285	38	58
286	20	27
287	37	69
288	27	51
289	31	58
290	19	46
291	47	84
292	57	99
293	42	69
294	39	62
295	88	161
296	42	74
297	18	29
298	4	7
299	81	135
300	43	78
301	57	95
302	63	104
303	21	32
304	27	52
305	94	136
306	44	65
307	16	24
308	9	10
309	17	17
310	8	15
311	38	53
312	24	27
313	41	67
314	36	53
315	49	65
316	36	56
317	20	35
318	42	63
319	17	28
320	40	58
321	17	29
322	35	42
323	27	48
324	39	54
325	24	31
326	2	6
327	10	17
328	9	11
329	64	91
330	27	51
331	38	57
332	23	43
333	42	53
334	58	68
335	64	80
336	30	51
337	6	13
338	55	84
339	24	44
340	22	32
341	87	134
342	27	41
343	35	56
344	52	76
345	17	18
346	61	94
347	51	72
348	26	47
349	4	3
350	8	19
351	20	24
352	36	60
353	14	29
354	66	98
355	60	101
356	91	126
357	27	36
358	116	158
359	63	87
360	37	55
361	7	16
362	96	128
363	22	31
364	37	64
365	52	86
366	54	76
367	55	89
368	30	46
369	68	88
370	53	76
371	33	40
372	16	18
373	5	6
374	38	59
375	32	52
376	16	24
377	49	68
378	39	58
379	38	60
380	11	18
381	53	77
382	28	43
383	19	26
384	25	30
385	20	31
386	31	40
387	49	74
388	34	35
389	15	16
390	69	92
391	28	28
392	14	23
393	4	8
394	37	56
395	31	42
396	24	39
397	11	19
398	41	80
399	23	29
400	59	79
401	69	94
402	33	50
403	3	5
404	59	95
405	31	50
406	12	19
407	60	93
408	15	29
409	37	64
410	27	41
411	54	64
412	30	51
413	41	61
414	45	75
415	20	27
416	39	53
417	27	36
418	40	66
419	9	16
420	72	100
421	93	152
422	76	121
423	14	24
424	18	27
425	17	25
426	54	82
427	10	19
428	55	85
429	21	31
430	47	65
431	36	50
432	15	28
433	16	26
434	19	28
435	37	57
436	67	80
437	64	91
438	59	74
439	4	8
440	50	78
441	67	87
442	29	46
443	20	23
444	33	47
445	13	14
446	18	33
447	38	53
448	23	37
449	49	78
450	36	50
451	52	81
452	57	87
453	44	63
454	28	43
455	69	93
456	11	19
457	30	69
458	74	130
459	22	30
460	53	85
461	42	59
462	64	92
463	23	27
464	95	153
465	52	65
466	63	85
467	57	78
468	37	43
469	48	70
470	25	41
471	7	13
472	37	66
473	49	77
474	42	70
475	52	89
476	9	10
477	5	7
478	17	31
479	36	52
480	29	37
481	29	41
482	78	134
483	32	45
484	41	74
485	47	54
486	6	8
487	25	32
488	44	65
489	22	38
490	43	57
491	65	89
492	32	49
493	58	64
494	5	6
495	13	25
496	47	74
497	27	39
498	28	46
499	43	57
500	50	58
501	28	42
502	47	76
503	44	62
504	6	10
505	14	21
506	41	57
507	24	49
508	20	36
509	15	28
510	18	25
511	36	55
512	7	11
513	41	70
514	52	88
515	15	20
516	17	20
517	35	56
518	48	84
519	26	34
520	20	28
521	40	57
522	75	108
523	28	45
524	24	35
525	19	25
526	39	71
527	33	52
528	24	31
529	24	35
530	21	50
531	17	26
532	24	31
533	34	44
534	4	9
535	51	82
536	20	26
537	70	114
538	33	55
539	13	20
540	59	100
541	37	69
542	14	20
543	73	116
544	33	47
545	41	54
546	48	61
547	40	67
548	20	41
549	61	84
550	38	86
551	41	65
552	43	68
553	51	91
554	38	56
555	7	8
556	48	75
557	60	83
558	50	63
559	88	136
560	34	55
561	16	29
562	32	47
563	52	80
564	10	17
565	49	74
566	58	90
567	27	40
568	24	43
569	52	74
570	17	22
571	6	11
572	32	45
573	34	45
574	40	52
575	30	42
576	61	87
577	34	51
578	59	78
579	36	59
580	32	47
581	16	36
582	23	30
583	16	26
584	120	199
585	21	34
586	79	122
587	23	35
588	35	45
589	29	35
590	38	54
591	22	43
592	28	38
593	29	39
594	26	39
595	3	3
596	41	65
597	40	62
598	46	66
599	40	62
600	39	55
601	42	58
602	6	8
603	114	132
604	18	25
605	15	17
606	40	76
607	30	51
608	22	39
609	18	33
610	27	44
611	29	41
612	37	58
613	26	39
614	66	96
615	18	26
616	25	40
617	23	34
618	10	17
619	18	38
620	55	87
621	23	31
622	41	50
623	66	106
624	37	47
625	56	81
626	37	49
627	36	53
628	63	86
629	14	22
630	30	52
631	37	55
632	59	73
633	27	33
634	59	84
635	17	25
636	34	57
637	16	29
638	37	56
639	14	26
640	38	49
641	13	28
642	65	92
643	48	71
644	24	44
645	33	49
646	17	33
647	25	41
648	21	38
649	42	67
650	20	34
651	8	20
652	27	45
653	69	86
654	50	61
655	26	35
656	19	38
657	69	111
658	73	97
659	42	62
660	36	61
661	43	72
662	44	63
663	53	75
664	24	26
665	24	38
666	34	56
667	33	51
668	25	37
669	29	43
670	14	25
671	41	64
672	16	33
673	57	83
674	34	52
675	17	33
676	44	63
677	65	112
678	42	67
679	58	83
680	50	75
681	17	23
682	72	94
683	17	32
684	48	65
685	29	44
686	27	37
687	38	63
688	17	22
689	27	32
690	46	81
691	68	96
692	21	28
693	30	48
694	27	40
