	docid	citation
0	E07-043.html	RenbinZhanR. Zhan and JisuoJinJ. Jin. 2008. Onshore migration of a deep-water brachiopod fauna from the Lower Ordovician Tonggao Formation, Jiangnan Slope, southeastern Guizhou Province, South China. Canadian Journal of Earth Sciences.45(2): 141-157. https://doi.org/10.1139/E07-043
1	E09-068.html	JohnShawJ. Shaw, DavisSharpeD. Sharpe, and JeffHarrisJ. Harris. 2010. A flowline map of glaciated Canada based on remote sensing data. Canadian Journal of Earth Sciences.47(1): 89-101. https://doi.org/10.1139/E09-068
2	e84-035.html	M. K. Prabhu and G. R. Webber. 1984. Origin of quartzofeldspathic gneisses at Montauban-les-Mines, Quebec. Canadian Journal of Earth Sciences.21(3): 336-345. https://doi.org/10.1139/e84-035
3	cjes-2014-0209.html	Junqing Chen, Xiongqi Pang, and Zhenxue Jiang. 2015. Controlling factors and genesis of hydrocarbons with complex phase state in the Upper Ordovician of the Tazhong Area, Tarim Basin, China. Canadian Journal of Earth Sciences.52(10): 880-892. https://doi.org/10.1139/cjes-2014-0209
4	e06-029.html	E E Maxwell and M W Caldwell. 2006. Evidence for a second species of the ichthyosaur Platypterygius in North America: a new record from the Loon River Formation (Lower Cretaceous) of northwestern Canada. Canadian Journal of Earth Sciences.43(9): 1291-1295. https://doi.org/10.1139/e06-029
5	e02-022.html	M R St-Onge, D J Scott, and N Wodicka. 2002. Review of crustal architecture and evolution in the Ungava Peninsula — Baffin Island area: connection to the Lithoprobe ECSOOT transect. Canadian Journal of Earth Sciences.39(5): 589-610. https://doi.org/10.1139/e02-022
6	e03-057.html	Terence P Fletcher and Desmond H Collins. 2003. The Burgess Shale and associated Cambrian formations west of the Fossil Gully Fault Zone on Mount Stephen, British Columbia. Canadian Journal of Earth Sciences.40(12): 1823-1838. https://doi.org/10.1139/e03-057
7	e00-104.html	M Tardy, H Lapierre, L C Struik, D Bosch, and P Brunet. 2001. The influence of mantle plume in the genesis of the Cache Creek oceanic igneous rocks: implications for the geodynamic evolution of the inner accreted terranes of the Canadian Cordillera. Canadian Journal of Earth Sciences.38(4): 515-534. https://doi.org/10.1139/e00-104
8	e2012-043.html	O’NeillH. Brendan and BurnC.R.. 2012. Physical and temporal factors controlling the development of near-surface ground ice at Illisarvik, western Arctic coast, Canada. Canadian Journal of Earth Sciences.49(9): 1096-1110. https://doi.org/10.1139/e2012-043
9	e11-002.html	HadlariT. and RainbirdR.H.. 2011. Retro-arc extension and continental rifting: a model for the Paleoproterozoic Baker Lake Basin, Nunavut. Canadian Journal of Earth Sciences.48(8): 1232-1258. https://doi.org/10.1139/e11-002
10	e99-023.html	Olivier Vanderhaeghe, Christian Teyssier, and Richard Wysoczanski. 1999. Structural and geochronological constraints on the role of partial melting during the formation of the Shuswap metamorphic core complex at the latitude of the Thor-Odin dome, British Columbia. Canadian Journal of Earth Sciences.36(6): 917-943. https://doi.org/10.1139/e99-023
11	cjes-2019-0214.html	Tianyu Ji, Wei Yang, Renhai Pu, and Xueqiong Wu. 2020. Research on the lithofacies and paleogeography of the lower Cambrian Xiaoerbulake Formation in the northern Tarim Basin, northwestern China. Canadian Journal of Earth Sciences.57(12): 1463-1477. https://doi.org/10.1139/cjes-2019-0214
12	cjes-2018-0007.html	Zhongjie Xu, Yizhi Lan, Jintao Kong, Rihui Cheng, and Liaoliang Wang. 2018. Detrital zircon U–Pb dating of Late Triassic Wenbinshan Formation in southwestern Fujian, South China, and its geological significance. Canadian Journal of Earth Sciences.55(8): 980-996. https://doi.org/10.1139/cjes-2018-0007
13	E08-052.html	S. E.ZurevinskiS. Zurevinski, L. M.HeamanL. Heaman, R. A.CreaserR. Creaser, and P.StrandP. Strand. 2008. The Churchill kimberlite field, Nunavut, Canada: petrography, mineral chemistry, and geochronology. Canadian Journal of Earth Sciences.45(9): 1039-1059. https://doi.org/10.1139/E08-052
14	e90-149.html	François Arthaud, Jean-Claude Grillot, and Michel Raunet. 1990. La tectonique cassante à Madagascar: son incidence sur la géomorphologie et sur les écoulements. Canadian Journal of Earth Sciences.27(10): 1394-1407. https://doi.org/10.1139/e90-149
15	cjes-2013-0111.html	HynesAndrew. 2014. How feasible was subduction in the Archean?. Canadian Journal of Earth Sciences.51(3): 286-296. https://doi.org/10.1139/cjes-2013-0111
16	e03-060.html	Sandy Bonny and Brian Jones. 2003. Microbes and mineral precipitation, Miette Hot Springs, Jasper National Park, Alberta, Canada. Canadian Journal of Earth Sciences.40(11): 1483-1500. https://doi.org/10.1139/e03-060
17	e86-068.html	Aicha Achab. 1986. Assemblages de chitinozoaires dans l'Ordovicien inf&#xe9;rieur de l'est du Canada. Canadian Journal of Earth Sciences.23(5): 682-695. https://doi.org/10.1139/e86-068
18	e86-125.html	Patrick R. Racheboeuf and Paul Copper. 1986. The oldest chonetacean brachiopods (Ordovician–Silurian, Anticosti Island, Québec). Canadian Journal of Earth Sciences.23(9): 1297-1308. https://doi.org/10.1139/e86-125
19	E09-072.html	DonFrancisD. Francis, WilliamMinarikW. Minarik, YulianaProenzaY. Proenza, and LangShiL. Shi. 2010. An overview of the Canadian Cordilleran lithospheric mantle. Canadian Journal of Earth Sciences.47(4): 353-368. https://doi.org/10.1139/E09-072
20	e01-054.html	H R Jackson. 2002. Seismic refraction profiles in the Gulf of Saint Lawrence and implications for extent of continuous Grenville lower crust. Canadian Journal of Earth Sciences.39(1): 1-17. https://doi.org/10.1139/e01-054
21	e00-108.html	P F Karrow, J H McAndrews, B B Miller, A V Morgan, K L Seymour, and O L White. 2001. Illinoian to Late Wisconsinan stratigraphy at Woodbridge, Ontario. Canadian Journal of Earth Sciences.38(6): 921-942. https://doi.org/10.1139/e00-108
22	e02-009.html	Jean-Claude Dionne. 2002. Les erratiques de dolomie &#xe0; Rivi&#xe8;re-Blanche, c&#xf4;te sud de l'estuaire maritime du Saint-Laurent : un indicateur de transport glaciaire et glaciel. Canadian Journal of Earth Sciences.39(8): 1239-1255. https://doi.org/10.1139/e02-009
23	e93-182.html	D. A. Eberth, D. A. Russell, D. R. Braman, and A. L. Deino. 1993. The age of the dinosaur-bearing sediments at Tebch, Inner Mongolia, People's Republic of China. Canadian Journal of Earth Sciences.30(10): 2101-2106. https://doi.org/10.1139/e93-182
24	cjes-2013-0143.html	TalingaDraga and CalvertAndrew J.. 2014. Distribution of Paleogene and Cretaceous rocks around the Nazko River belt of central British Columbia from 3-D long-offset first-arrival seismic tomography. Canadian Journal of Earth Sciences.51(4): 358-372. https://doi.org/10.1139/cjes-2013-0143
25	e80-046.html	Philip J. Currie. 1980. A new younginid (Reptilia: Eosuchia) from the Upper Permian of Madagascar. Canadian Journal of Earth Sciences.17(4): 500-511. https://doi.org/10.1139/e80-046
26	e03-068.html	B W Mountain, L G Benning, and J A Boerema. 2003. Experimental studies on New Zealand hot spring sinters: rates of growth and textural development. Canadian Journal of Earth Sciences.40(11): 1643-1667. https://doi.org/10.1139/e03-068
