docid	citation	abstract_en	abstract_fr	title_en	title_fr	
crgeos.116	Han Liu; Zhangji Zhao; Qi Zhou; Ruoxia Chen; Kai Yang; Zhe Wang; Longwen Tang; Mathieu Bauchy. Challenges and opportunities in atomistic simulations of glasses: a review. Comptes Rendus. Géoscience, Tome 354 (2022) no. S1, pp. 35-77. doi : 10.5802/crgeos.116. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.116/</pre>	<p>Atomistic modeling and simulations have been pivotal in our understanding of the glassy state. Indeed, atomistic modeling offers direct access to the structure and dynamics of atoms in glasses—which is typically hidden from conventional experiments. Simulations also offer a more economical, faster alternative to systematic experiments to decode composition-property relationships and accelerate the discovery of new glasses with desirable properties and functionalities. However, the atomistic modeling of glasses remains plagued by a series of challenges, e.g., high computational cost, limited accessible timescale, lack of accurate interatomic forcefields, etc. These challenges often result in the existence of discrepancies between simulation and experimental data, thereby limiting the predictive power of atomistic modeling. Here, we review recent accomplishments and remaining challenges facing the atomistic modeling of glasses. We discuss future opportunities offered by the seamless integration of simulations, knowledge, experiments, and machine learning in advancing glass modeling to a new era.</p>	<p>La modélisation et simulations atomiques ont joué un rôle important pour notre connaissance de l’état vitreux. En effet, la modélisation atomique offre un accès direct à la structure et dynamique des atomes dans les verres — qui n’est typiquement pas accessible par les techniques expérimentales classiques. Les simulations offrent également une alternative économique et rapide aux expériences systématiques pour décoder les relations composition-propriétés et accélérer la découverte de nouveaux verres offrant des propriétés et fonctionnalités de choix. Cependant, la modélisation atomique des verres reste limitée par une série de défis, par exemple, le coût de calcul élevé, l’échelle de temps accessible limitée, le manque de champs de force interatomiques précis, etc. Ces défis induisent souvent l’existence de divergences entre les résultats simulés et expérimentaux, ce qui limite le pouvoir prédictif de la modélisation atomistique. Dans cette contribution, nous passons en revue les récents progrès et les défis restants auxquels est confrontée la modélisation atomistique des verres. Nous discutons les opportunités futures offertes par les intégrations de simulations, connaissances, données expérimentales et d’intelligence artificielle pour faire avancer la modélisation du verre vers une nouvelle ère.</p>	Challenges and opportunities in atomistic simulations of glasses: a review	Défis et opportunités en simulations atomiques de verres : une revue	
crgeos.119	Sara Bazin; Jean-Yves Royer; Flavie Dubost; Fabien Paquet; Benoît Loubrieu; Aude Lavayssière; Christine Deplus; Nathalie Feuillet; Éric Jacques; Emmanuel Rinnert; Isabelle Thinon; Élodie Lebas; Delphine Pierre; Lise Retailleau; Jean-Marie Saurel; Alexey Sukhovich; Robin Bonnet; the REVOSIMA group. Initial results from a hydroacoustic network to monitor submarine lava flows near Mayotte Island. Comptes Rendus. Géoscience, Tome 354 (2022) no. S2, pp. 257-273. doi : 10.5802/crgeos.119. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.119/</pre>	<p>In 2019, a new underwater volcano was discovered at 3500 m below sea level (b.s.l.), 50 km east of Mayotte Island in the northern part of the Mozambique Channel. In January 2021, the submarine eruption was still going on and the volcanic activity, along with the intense seismicity that accompanies this crisis, was monitored by the recently created REVOSIMA (MAyotte VOlcano and Seismic Monitoring) network. In this framework, four hydrophones were moored in the SOFAR channel in October 2020. Surrounding the volcano, they monitor sounds generated by the volcanic activity and the lava flows. The first year of hydroacoustic data evidenced many earthquakes, underwater landslides, large marine mammal calls, along with anthropogenic noise. Of particular interest are impulsive signals that we relate to steam bursts during lava flow emplacement. A preliminary analysis of these impulsive signals (ten days in a year, and only one day in full detail) reveals that lava emplacement was active when our monitoring started, but faded out during the first year of the experiment. A systematic and robust detection of these specific signals would hence contribute to monitor active submarine eruptions in the absence of seafloor deep-tow imaging or swath-bathymetry surveys of the active area.</p>	<p>En 2019, un nouveau volcan sous-marin a été découvert par 3500 m de profondeur, à 50 km à l’est de l’île de Mayotte dans la partie Nord du Canal du Mozambique. Le RÉseau de surveillance VOlcanologique et SIsmologique de MAyotte (REVOSIMA) a été mis en place pour surveiller l’activité sous-marine de ce nouveau volcan ainsi que l’intense crise sismique qui a débuté en Mai 2018 et qui est toujours en cours. Dans ce cadre, quatre mouillages équipés d’hydrophones ont été déployés en octobre 2020 autour du volcan, à la profondeur du canal SOFAR. L’objectif est, entre autres, d’enregistrer les sons générés par l’activité volcanique sous-marine, notamment par l’éruption de coulées de lave. Plusieurs sources d’ondes hydroacoustiques ont été identifiées pendant la première année d’écoute : séismes, glissements de terrain sous-marins, cris de mammifères marins de différentes espèces et bruit anthropogénique. Parmi ces sons, des signaux impulsionnels ont retenu notre attention. Nous les associons à des formations de vapeur liées à l’épanchement de coulées volcaniques. L’analyse préliminaire de ces signaux (10 jours répartis sur la première année, dont 24 h dépouillées finement) révèle que la forte activité éruptive observée à 10 km au NW du nouveau volcan au début de la surveillance hydroacoustique a fortement diminué pendant la première année d’enregistrement. Une détection systématique robuste de ces signaux offrirait la possibilité de dater et localiser l’activité éruptive, en l’absence de levés bathymétriques et d’imagerie répétée de la zone active.</p><p></p>	Initial results from a hydroacoustic network to monitor submarine lava flows near Mayotte Island	Premiers résultats d’un réseau hydroacoustique pour surveiller les coulées de lave sous-marines près de l’île de Mayotte	
crgeos.121	Serge Ferry; Danièle Grosheny; Francis Amédro. Sedimentary record of the “Austrian” tectonic pulse around the Aptian–Albian boundary in SE France, and abroad. Comptes Rendus. Géoscience, Tome 354 (2022) no. S3, pp. 67-87. doi : 10.5802/crgeos.121. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.121/</pre>	<p>A tectonically-controlled forced regression occurred on the western margin of the French subalpine basin around the Aptian–Albian boundary. It nearly emptied the western part of the Vocontian Trough during the early and middle Albian. A compressional pulse associated with vertical movements along the Cevennes fault row and its satellites is inferred. This forced regression is correlated with an inverse transgressive trend, both in the Paris Basin and the northern subalpine chains. The black shales of the early Aptian OAE1a and Albian OAE1b of the Vocontian Trough succession occur within opposite regional sea level trends, transgressive for the former, regressive for the latter. The inferred tectonic pulse is also recorded on a broader scale from literature data. The overall picture also shows outphasings in relative sea level changes on a large scale, likely controlled by tectonics.</p>	<p>Une régression forcée d’origine tectonique s’est produite sur la marge occidentale de la mer subalpine au passage Aptien–Albien. Elle a vidangé presque complètement la partie ouest de la fosse vocontienne pendant l’Albien inférieur et moyen. Une pulsation tectonique en régime compressif associée à des mouvements verticaux est suggérée le long du couloir de failles cévenol et satellites. La régression forcée est corrélée avec une tendance inverse transgressive dans le Bassin de Paris et dans les Chaines Subalpines nord. Les black shales vocontiens des événements anoxiques océaniques globaux OAE1a (Aptien) et OAE1b (Albien) s’inscrivent dans des tendances opposées en termes de variations du niveau marin relatif, largement transgressive pour le premier, fortement régressive pour le second. La pulsation tectonique déduite se manifeste à plus grande échelle d’après les données de la bibliographie. Elle est également responsable des déphasages constatés dans les variations locales du niveau marin à grande échelle.</p>	Sedimentary record of the “Austrian” tectonic pulse around the Aptian–Albian boundary in SE France, and abroad	Enregistrement sédimentaire de la pulsation tectonique autrichienne vers la limite Aptien–Albien dans le sud-est de la France, et à plus grande échelle	
crgeos.128	Tarik Kernif; Thierry Nalpas; Pierre Gautier; Sylvie Bourquin; Marc Poujol; François Fournier. Formation and preservation of colluvial sedimentary breccias during early extension: processes and facies organization. Comptes Rendus. Géoscience, Tome 354 (2022), pp. 205-231. doi : 10.5802/crgeos.128. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.128/</pre>	<p>In this study, we focused on the formation and preservation processes of colluvial sedimentary breccias within an extensional context. The breccias studied in this work (from Crete and the Pyrenees) are characterized by poorly sorted polygenic deposits of highly angular carbonate clasts whose size ranges from pebbles to blocks measuring several millimeters to several meters. This study shows that the colluvial sedimentary breccias were formed during extensional tectonics and are spatially associated with large-throw normal fault. They are related to the creation of a substantial topography in the footwall of the normal fault followed by its collapse on the hanging wall, leading to fast sediment accumulation and preservation. These breccias are organized, with pebble- to cobble-sized clasts near the slope of the fault while the mega-clasts, such as boulders and blocks, are preserved away from the slope. Such a clast size organization is indicative of a dry rockfall process and is opposite to that of alluvial fan systems dominated by gravity process involving water. This study also revealed that the breccias from the NE of the Pyrenees, encountered on both flanks of the Bas Agly syncline and previously attributed to the Lower Cretaceous, are related to a first phase of extension during the Upper Jurassic.</p>	<p>Dans cette étude, nous nous sommes intéressés aux processus de formation et de préservation des brèches sédimentaires colluviales dans un contexte d’extension. Les brèches étudiées dans ce travail (provenant de Crète et des Pyrénées) sont caractérisées par des dépôts polygéniques mal triés de clastes carbonatés très anguleux dont la taille varie de galets à blocs mesurant plusieurs millimètres à plusieurs mètres. Cette étude montre que les brèches sédimentaires colluviales formées au cours de la tectonique en extension sont spatialement associées à des failles normales majeures et sont organisées avec des clastes de la taille de petits cailloux à galets près de la pente de la faille et des méga-clastes, tels que des gros cailloux et des blocs, loin de la pente, contrairement à ce que l’on trouve dans les systèmes de cônes alluviaux. Cette étude révèle également que les brèches rencontrées sur les deux flancs du synclinal du Bas Agly, qui sont intercalées entre des calcaires du Jurassique supérieur et du Berriasien, sont liées à une phase d’extension précoce durant le Jurassique supérieur.</p>	Formation and preservation of colluvial sedimentary breccias during early extension: processes and facies organization	.	
crgeos.129	Wilfried Blanc; Luca Schenato; Carlo Molardi; Luca Palmieri; Andrea Galtarossa; Daniele Tosi. Distributed fiber optics strain sensors: from long to short distance. Comptes Rendus. Géoscience, Tome 354 (2022) no. S1, pp. 161-183. doi : 10.5802/crgeos.129. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.129/</pre>	<p>Developed for more than forty years, optical fibers have features that make them particularly attractive for making sensors. One of the strengths of these sensors is that they can measure different physical parameters in a distributed manner over a wide range of lengths (from a few cm up to tens of kilometers) with a spatial resolution ranging from millimeters to meters. In this article, we are particularly interested in distributed fiber sensors, mainly based on light scattering processes, for measuring strain variations. This review concerns both applications requiring long lengths of fiber in a geological context, as well as those using length less than one meter for the medical sector. While distributed fiber optics sensors have already shown their great potential for long-range applications, short-range applications are a niche sector emerging in the last few years.</p>	<p>Développées depuis plus de quarante ans, les fibres optiques présentent des caractéristiques qui les rendent particulièrement attractives pour la réalisation de capteurs. L’un des points forts de ces capteurs est qu’ils peuvent mesurer différents paramètres physiques de manière distribuée sur une large gamme de longueurs (de quelques cm à des dizaines de kilomètres) avec une résolution spatiale allant du millimètre au mètre. Dans cet article, nous nous intéressons particulièrement aux capteurs à fibre distribuée, principalement basés sur des procédés de diffusion de la lumière, pour mesurer les variations de déformation. Cette revue concerne à la fois les applications nécessitant de grandes longueurs de fibre dans un contexte géologique, ainsi que celles utilisant des longueurs inférieures à un mètre pour le secteur médical. Alors que les capteurs à fibre optique distribués ont déjà montré leur grand potentiel pour les applications à longue portée, les applications à courte portée sont un secteur de niche émergeant ces dernières années.</p>	Distributed fiber optics strain sensors: from long to short distance	Capteurs distribués de contrainte à fibres optiques : de la longue à la courte distance	
crgeos.130	Frédérique Rolandone; Jeffrey Poort; Charles Masquelet; Sylvie Leroy; Isabelle Thinon; Anne Lemoine; Fabien Paquet. Heat flow measurements in the Northern Mozambique Channel. Comptes Rendus. Géoscience, Tome 354 (2022) no. S2, pp. 35-46. doi : 10.5802/crgeos.130. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.130/</pre>	"<p>Heat flow in the Northern Mozambique Channel is poorly constrained, with only a few old measurements indicating relatively low values of 55–<span class=""mathjax-formula"" data-tex=""$62~\text{mW/m}^2$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mn>62</mn><mspace width=""3.33333pt""/><msup><mtext>mW/m</mtext> <mn>2</mn> </msup></mrow></math></span>. During the SISMAORE cruise to the Northern Mozambique Channel, we obtained new heat flow measurements at four sites, using sediment corers equipped with thermal probes. Three of the sites yield values of 42–47 <span class=""mathjax-formula"" data-tex=""$\text{mW/m}^2$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><msup><mtext>mW/m</mtext> <mn>2</mn> </msup></math></span>, confirming low regional heat flow in this area. Our values are consistent with a Jurassic oceanic lithosphere around Mayotte, although the presence of very thin continental crust or continental fragments could also explain the observed heat flow. Our values do not support a regional thermal anomaly and so do not favor a hotspot model for Mayotte. However, at a fourth site located 30 km east of the submarine volcano that appeared in 2018 east of Mayotte, we measured a very high heat flow value of <span class=""mathjax-formula"" data-tex=""$235~\text{mW/m}^2$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mn>235</mn><mspace width=""3.33333pt""/><msup><mtext>mW/m</mtext> <mn>2</mn> </msup></mrow></math></span>, which we relate to the circulation of hot fluids linked to recent magmatic activity.</p>"	"<p>Le flux de chaleur dans le nord du canal du Mozambique, basé sur des mesures anciennes et peu nombreuses, est faible (55–<span class=""mathjax-formula"" data-tex=""$62~\text{mW/m}^2$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mn>62</mn><mspace width=""3.33333pt""/><msup><mtext>mW/m</mtext> <mn>2</mn> </msup></mrow></math></span>). Durant la campagne à la mer SISMAORE, nous avons obtenu quatre nouvelles mesures de flux de chaleur. Nos mesures donnent des valeurs de 47, 45 et <span class=""mathjax-formula"" data-tex=""$42~\text{mW/m}^2$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mn>42</mn><mspace width=""3.33333pt""/><msup><mtext>mW/m</mtext> <mn>2</mn> </msup></mrow></math></span> qui confirment un flux de chaleur régional faible. Ces valeurs sont cohérentes avec une lithosphère océanique d’âge Jurassique autour de Mayotte, mais elles peuvent aussi être expliquées par une croûte continentale amincie, ou des enclaves de croûte continentale dans une croûte océanique. Nos faibles valeurs de flux ne sont pas en faveur d’une anomalie thermique régionale ni du modèle point chaud pour expliquer le volcanisme de Mayotte. Cependant, nous avons une mesure de flux, pour un site à 30 km du volcan sous-marin actif à l’est de Mayotte, qui donne une valeur très élevée de <span class=""mathjax-formula"" data-tex=""$235~\text{mW/m}^2$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mn>235</mn><mspace width=""3.33333pt""/><msup><mtext>mW/m</mtext> <mn>2</mn> </msup></mrow></math></span>, pouvant être reliée à la circulation de fluides chauds.</p><p></p>"	Heat flow measurements in the Northern Mozambique Channel	Mesures de flux de chaleur dans le nord du canal du Mozambique	
crgeos.131	Miki Mori. Storytelling, language, and the earthquake swarm of May 2018: Insights into Shimaore and Kibushi from narrative analysis. Comptes Rendus. Géoscience, Tome 354 (2022) no. S2, pp. 417-437. doi : 10.5802/crgeos.131. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.131/</pre>	<p>The earthquake swarm that struck Mayotte in 2018 incited panic and various reactions among the local population. Because earthquakes are rare on the island, people were beside themselves, with many leaving their homes to wait out the night under the open air. This article analyzes 36 short narratives that recount events surrounding the crisis. Told in Shimaore and Kibushi, these stories describe what happened at night, particularly when people sought refuge in open spaces, fearing another earthquake might strike. The article focuses on the language used in the stories to discuss earthquakes and the earthquake swarm. Analyses reveal that the stories have a similar structure and language related to space, movement, affect and evaluation are parallel in the two languages. Some differences between the two languages are observed regarding terminology, such as the noun form for “earthquake.” Narratives reveal evaluative language that negatively portrays the events, and the language that stresses the collective experience on the island.</p><p></p>	<p>L’essaim de séismes qui a frappé Mayotte en 2018 a suscité la panique, la détresse et diverses réactions parmi la population locale. Les tremblements de terre étant une rareté sur l’île, les gens étaient inquiets, beaucoup quittaient leurs maisons pour attendre la nuit à l’air libre. Cet article analyse 36 courts récits qui relatent les événements entourant la crise. Racontées en shimaore et en kibushi, ces histoires décrivent ce qui s’est passé la nuit, en particulier lorsque les gens ont quitté leurs maisons pour se réfugier dans des espaces ouverts, craignant qu’un autre tremblement de terre ne se produise. Dans l’ensemble, les histoires ont une structure similaire, et le langage lié à l’espace, le mouvement, l’affect et l’évaluation sont parallèles dans les deux langues. Certaines différences sont observées concernant la terminologie, comme la forme nominale pour «  tremblement de terre  » dans les deux langues.</p><p></p>	Storytelling, language, and the earthquake swarm of May 2018: Insights into Shimaore and Kibushi from narrative analysis	Les récits, le langage et l’essaim de séismes de mai 2018 : les perceptions du shimaore et du kibushi à partir d’une analyse narrative	
crgeos.132	Jean-Claude Bollinger. Literature & Geosciences: Jules Verne’s geological novels, from the 19th to the 21st century. Comptes Rendus. Géoscience, Tome 354 (2022), pp. 233-253. doi : 10.5802/crgeos.132. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.132/</pre>	"<p>A friend of both François Arago, who founded the <span class=""italique"">Comptes Rendus de l’Académie des Sciences</span>, and his brother Jacques, a renowned traveler, Jules Verne (1828–1905) wrote many novels in which his heroes made use of the most recent scientific knowledge of the time. While the novelist only really had a legal background, he did keep himself apprised of all the latest scientific developments. This study, based on a selection of novels wherein geology is very present as well as on contemporary or current scientific publications, shows that today’s understanding of the geosciences does indeed agree with Jules Verne’s extrapolations. Among the subjects developed are: coal extraction and the hazards of firedamp, so-called “mud volcanoes” and the special case of gold trickling from volcanoes, diamond geo-genesis, the creation of an inland sea in the Sahara, and a foretelling of the Anthropocene Epoch.</p>"	"<p>Ami de François Arago, le fondateur des <span class=""italique"">Comptes Rendus de l’Académie des Sciences</span>, et de son frère Jacques, un grand voyageur, Jules Verne (1828–1905) a écrit de nombreux romans dans lesquels ses héros utilisent les connaissances scientifiques les plus récentes de l’époque. En effet le romancier, s’il n’avait qu’une formation juridique, se tenait informé des développements de la science. Dans cette étude, basée d’une part sur un choix de romans où la géologie est très présente, et d’autre part sur des publications scientifiques contemporaines ou actuelles, on montre que les géosciences d’aujourd’hui sont en accord avec les extrapolations de Jules Verne. Parmi les sujets développés, citons : l’extraction du charbon et les risques de grisou, les volcans dits «  de boue  » et le cas particulier de l’or qui s’écoule de certains volcans, la géo-genèse des diamants, la création d’une mer intérieure dans le Sahara, et une prédiction de l’époque Anthropocène.</p>"	Literature &amp; Geosciences: Jules Verne’s geological novels, from the 19th to the 21st century	"Littérature &amp; Géosciences : Les romans géologiques de Jules Verne, du XIX<span class=""mathjax-formula"" data-tex=""$^{{e}}$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><msup><mrow/> <mi>e</mi> </msup></math></span> au XXI<span class=""mathjax-formula"" data-tex=""$^{{e}}$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><msup><mrow/> <mi>e</mi> </msup></math></span> siècle"	
crgeos.133	Lise Retailleau; Jean-Marie Saurel; Marine Laporte; Aude Lavayssière; Valérie Ferrazzini; Weiqiang Zhu; Gregory C. Beroza; Claudio Satriano; Jean-Christophe Komorowski; OVPF Team. Automatic detection for a comprehensive view of Mayotte seismicity. Comptes Rendus. Géoscience, Tome 354 (2022) no. S2, pp. 153-170. doi : 10.5802/crgeos.133. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.133/</pre>	<p>The seismic crisis that began in May, 2018 off the coast of Mayotte announced the onset of a volcanic eruption that started two months later 50 km southeast of the island. This seismicity has since been taken as an indicator of the volcanic and tectonic activity in the area. In response to this activity, a network of stations was deployed on Mayotte over the past three years. We used the machine learning-based method PhaseNet to re-analyze the seismicity recorded on land since March 2019. We detect 50,512 events compared to around 6508 manually picked events between March 2019 and March 2021. We locate them with NonLinLoc and a locally developed 1-D velocity model. While eruptions are often monitored through the analysis of Volcano-Tectonic (VT) seismicity (2–40 Hz), we focus on the lower frequency, Long Period (LP) earthquakes (0.5–5 Hz), which are thought to be more directly related to fluid movement at depth. In Mayotte, the VT events are spread between two clusters, whereas the LP events are all located in a single cluster in the bigger proximal VT cluster, at depths ranging from 25 to 40 km. Moreover, while the VT earthquakes of the proximal cluster occur continuously with no apparent pattern, LP events occur in swarms that last for tens of minutes. We show that during the swarms, LP events generally migrate downward at a speed of 5 m/s. While these events do not appear directly linked to upward fluid migration, their waveform signature could result from propagation through a fluid-rich medium. They occur at a different location than VT earthquakes, also suggesting a different origin which could be linked to the Very Long Period events (VLP) observed above the LP earthquakes in Mayotte.</p>	<p>La crise sismique qui a commencé à l’Est de l’île de Mayotte en mai 2018 a précédé de deux mois le début d’une éruption volcanique à 50 km au Sud-Est de l’île. Cette sismicité est utilisée depuis comme indicateur de l’activité volcanique et tectonique de la zone. Un réseau de stations a été déployé à Mayotte durant les trois dernières années en réponse à cette activité. Nous avons utilisé la méthode de machine learning PhaseNet afin de ré-analyser la sismicité enregistrée à terre depuis mars 2019. Nous avons identifié 50 512 événements entre mars 2019 et mars 2021, alors que le nombre d’événements identifiés manuellement durant la même période était limité à 6508. Nous avons localisé les événements grâce à l’algorithme NonLinLoc associé à un nouveau modèle de vitesse 1D local. Alors que les éruptions volcaniques sont souvent suivies grâce à l’analyse de la sismicité volcano-tectonique (VT, 2–40 Hz), nous nous sommes concentrés sur les séismes longue période (LP, 0.5–5 Hz), qui sont souvent associés à des mouvements de fluides en profondeur. Les séismes VT sont répartis dans deux zones géographiquement distinctes alors que les LP sont restreints à la zone la plus active et proche de l’île de Mayotte, avec des profondeurs entre 25 et 40 km. De plus, alors que les VT semblent se produire de manière continue sans organisation apparente, les LP se produisent en essaims qui durent quelques dizaines de minutes. A travers cette étude nous avons montré que lors d’un essaim, les séismes LP migrent vers le bas à une vitesse de 5 m/s. Ces événements ne semblent pas directement liés à un mouvement de fluides vers la surface, mais leur forme d’onde pourrait indiquer une propagation à travers un milieu riche en fluides. Ils se produisent en un lieu différent des séismes VT, suggérant aussi une source différente qui pourrait être liée aux événements de très longue période (VLP) qui sont observés à l’aplomb des séismes LP.</p>	Automatic detection for a comprehensive view of Mayotte seismicity	Détection automatique pour une vision globale de la sismicité de Mayotte	
crgeos.135	Roberto Moretti. Redox behavior of degassing magmas: critical review and comparison of glass-based oxybarometers with application to Etna volcano. Comptes Rendus. Géoscience, Tome 354 (2022) no. S1, pp. 249-279. doi : 10.5802/crgeos.135. https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.135/</pre>	"<p>Glass/melt inclusions are repositories of polybaric magma physiochemical interactions. They are fundamental to retrieve the conditions of fluid saturation and magma oxidation state. The latter is usually reported as oxygen fugacity, which is a key thermodynamic variable: involved in such polybaric physiochemical interactions, <span class=""mathjax-formula"" data-tex=""$f\mathrm{O}_{2}$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mi>f</mi><msub><mi mathvariant=""normal"">O</mi> <mn>2</mn> </msub></mrow></math></span> affects melt saturation properties and fixes the speciation of fluids discharged by magmatic systems either up to volcanic craters or feeding hydrothermal systems. Several oxybarometers have been proposed, based on iron and sulfur oxidation states. In this study I summarize their main features and show their performances for 1-bar and fluid-saturated andesitic and basaltic melts. I then show that any assessment of magma redox behavior that does not account for the melt reactivity, driven by melt polymerization and the so-called oxygen electrode in association with iron or sulfur redox couples, may fail in determining the actual contribution of the composition to the observed variations of iron and sulfur oxidation states, resulting in potentially biased <span class=""mathjax-formula"" data-tex=""$f\mathrm{O}_{2}$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mi>f</mi><msub><mi mathvariant=""normal"">O</mi> <mn>2</mn> </msub></mrow></math></span> estimates. In the case of Etna volcano, by using a well-established ionic-polymeric approach we show that a major control is the dehydration taking place during magmatic differentiation and magma ascent. Dehydration determines a slight iron oxidation down to around 2.5 wt% in dissolved water, but further dehydration taking place up to the surface results in iron reduction. This dual behavior, related to a change of trivalent iron speciation, is reproduced by reactive ionic-polymeric approaches and for the Etna basalt it is predicted also for constant <span class=""mathjax-formula"" data-tex=""$f\mathrm{O}_{2}$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mi>f</mi><msub><mi mathvariant=""normal"">O</mi> <mn>2</mn> </msub></mrow></math></span>. Such a modulation of the redox state due to water dissolution cannot be reproduced by empirical formulations.</p>"	"<p>Les inclusions vitreuses sont les dépositaires des interactions physico-chimiques polybares des magmas. Elles sont fondamentales pour déterminer les conditions de saturation des fluides et l’état d’oxydation du magma. Ce dernier est généralement donné sous forme de fugacité de l’oxygène, qui est une variable thermodynamique clé : impliquée dans ces interactions physico-chimiques polybares, la <span class=""mathjax-formula"" data-tex=""$f\mathrm{O}_{2}$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mi>f</mi><msub><mi mathvariant=""normal"">O</mi> <mn>2</mn> </msub></mrow></math></span> affecte les propriétés de saturation du magma et fixe la spéciation des fluides qui sont déchargés par les systèmes magmatiques jusqu’aux cratères volcaniques ou qui alimentent les systèmes hydrothermaux. Plusieurs oxybaromètres ont été proposés, basés sur l’état d’oxydation du fer et du soufre. Dans cette étude, je résume leurs principales caractéristiques et montre leurs performances pour des liquides andésitiques et basaltiques à 1 bar et saturés en fluides. Je montre ensuite que toute évaluation du comportement redox du magma qui ne tient pas compte de la réactivité du liquide silicaté, entraînée par sa polymérisation et la soi-disant électrode à oxygène en association avec les couples redox du fer ou du soufre, peut échouer dans la détermination de la contribution réelle de la composition aux variations observées de l’état d’oxydation du fer et du soufre, ce qui entraîne des estimations potentiellement biaisées de <span class=""mathjax-formula"" data-tex=""$f\mathrm{O}_{2}$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mi>f</mi><msub><mi mathvariant=""normal"">O</mi> <mn>2</mn> </msub></mrow></math></span>. Dans le cas du volcan Etna, en utilisant une approche ionique-polymérique bien établie, nous montrons qu’un contrôle majeur est donné par la déshydratation qui a lieu pendant la différenciation magmatique et l’ascension du magma. La déshydratation détermine une légère oxydation du fer jusqu’à environ 2.5% en poids dans l’eau dissoute, mais une déshydratation plus poussée ayant lieu jusqu’à la surface produit une réduction du fer. Ce double comportement, lié à un changement de spéciation du fer trivalent, est reproduit par des approches ioniques-polymériques réactives et, pour le basalte de l’Etna, il est également prédit pour une <span class=""mathjax-formula"" data-tex=""$f\mathrm{O}_{2}$""><math xmlns=""http://www.w3.org/1998/Math/MathML"" ><mrow><mi>f</mi><msub><mi mathvariant=""normal"">O</mi> <mn>2</mn> </msub></mrow></math></span> constante. Une telle modulation de l’état redox due à la dissolution de l’eau ne peut être reproduite par des formulations empiriques.</p><p></p>"	Redox behavior of degassing magmas: critical review and comparison of glass-based oxybarometers with application to Etna volcano	Comportement redox du dégazage magmatique : revue critique et comparaison des oxybaromètres basés sur les verres avec application au volcan Etna	
