	docid	citation
0	29Si-AND-23Na-MAS-NMR-SPECTROSCOPIC-STUDY-OF-THE.html	Barbara L. Sherriff, Bing Zhou; 29Si AND 23Na MAS NMR SPECTROSCOPIC STUDY OF THE POLYTYPES OF THE TITANOSILICATE PENKVILKSITE. The Canadian Mineralogist 2004;; 42 (4): 1027–1035. doi: https://doi.org/10.2113/gscanmin.42.4.1027
1	40Ar-39Ar-LASER-DATING-OF-ZONED-WHITE-MICAS-FROM.html	Peter H. Reynolds, D. Barrie Clarke, Patrick A. Bogutyn; 40Ar/39Ar LASER DATING OF ZONED WHITE MICAS FROM THE LAKE LEWIS LEUCOGRANITE, SOUTH MOUNTAIN BATHOLITH, NOVA SCOTIA, CANADA. The Canadian Mineralogist 2004;; 42 (4): 1129–1137. doi: https://doi.org/10.2113/gscanmin.42.4.1129
2	A-133Cs-29Si-AND-27Al-MAS-NMR-SPECTROSCOPIC-STUDY.html	Reginald B. Ejeckam, Barbara L. Sherriff; A 133Cs, 29Si, AND 27Al MAS NMR SPECTROSCOPIC STUDY OF Cs ADSORPTION BY CLAY MINERALS: IMPLICATIONS FOR THE DISPOSAL OF NUCLEAR WASTES. The Canadian Mineralogist 2005;; 43 (4): 1131–1140. doi: https://doi.org/10.2113/gscanmin.43.4.1131
3	A-57Fe-MO-SSBAUER-SPECTROSCOPIC-STUDY-OF-SUGILITE.html	Charles A. Geiger; A 57Fe MÖSSBAUER SPECTROSCOPIC STUDY OF SUGILITE, KNa2(Fe3+,Mn3+,Al)2Li3Si12O30. The Canadian Mineralogist 2009;; 47 (4): 927–931. doi: https://doi.org/10.3749/canmin.47.3.927
4	A-BOND-VALENCE-APPROACH-TO-THE-URANYL-OXIDE.html	Michael Schindler, Frank C. Hawthorne; A BOND-VALENCE APPROACH TO THE URANYL-OXIDE HYDROXY-HYDRATE MINERALS: CHEMICAL COMPOSITION AND OCCURRENCE. The Canadian Mineralogist 2004;; 42 (6): 1601–1627. doi: https://doi.org/10.2113/gscanmin.42.6.1601
5	A-CRYPTICALLY-ZONED-AMALGAM-Au1-5-1-9Ag1-1-1-4-2-8.html	Andrei Y. Barkov, Graham T. Nixon, Victor M. Levson, Robert F. Martin; A CRYPTICALLY ZONED AMALGAM (Au1.5–1.9Ag1.1–1.4)∑2.8–3.0Hg1.0–1.2 FROM A PLACER DEPOSIT IN THE TULAMEEN – SIMILKAMEEN RIVER SYSTEM, BRITISH COLUMBIA, CANADA: NATURAL OR MAN-MADE?. The Canadian Mineralogist 2009;; 47 (2): 433–440. doi: https://doi.org/10.3749/canmin.47.2.433
6	A-CRYSTAL-CHEMICAL-APPROACH-TO-THE-COMPOSITION-AND.html	Michael Schindler, Frank C. Hawthorne, Werner H. Baur; A CRYSTAL-CHEMICAL APPROACH TO THE COMPOSITION AND OCCURRENCE OF VANADIUM MINERALS. The Canadian Mineralogist 2000;; 38 (6): 1443–1456. doi: https://doi.org/10.2113/gscanmin.38.6.1443
7	A-CRYSTALLOGRAPHIC-STUDY-OF-THE-INCOMPLETE-SOLID.html	Laurel C. Basciano, Ronald C. Peterson; A CRYSTALLOGRAPHIC STUDY OF THE INCOMPLETE SOLID-SOLUTION BETWEEN PLUMBOJAROSITE AND JAROSITE. The Canadian Mineralogist 2010;; 48 (3): 651–659. doi: https://doi.org/10.3749/canmin.48.3.651
8	A-HALF-CENTURY-OF-ENVIRONMENTAL-MINERAL-FORMATION.html	Izabella M. Farkas, Tamás G. Weiszburg, Péter Pekker, Ernő Kuzmann; A HALF-CENTURY OF ENVIRONMENTAL MINERAL FORMATION ON A PYRITE-BEARING WASTE DUMP IN THE MÁTRA MOUNTAINS, HUNGARY. The Canadian Mineralogist 2009;; 47 (3): 509–524. doi: https://doi.org/10.3749/canmin.47.3.509
9	A-HISTORY-OF-OUR-UNDERSTANDING-OF-MAGMATIC-Ni-Cu.html	Anthony J. Naldrett; A HISTORY OF OUR UNDERSTANDING OF MAGMATIC Ni–Cu SULFIDE DEPOSITS. The Canadian Mineralogist 2005;; 43 (6): 2069–2098. doi: https://doi.org/10.2113/gscanmin.43.6.2069
10	A-KERMANITE-BREAKDOWN-TO-A-CUSPIDINE-BEARING.html	Brent E. Owens, Daniel T. Kremser; ÅKERMANITE BREAKDOWN TO A CUSPIDINE-BEARING SYMPLECTITE IN A CALC-SILICATE XENOLITH, KIGLAPAIT INTRUSION, LABRADOR, CANADA. The Canadian Mineralogist 2010;; 48 (4): 809–819. doi: https://doi.org/10.3749/canmin.48.4.809
11	A-LA-ICP-MS-EVALUATION-OF-Zr-RESERVOIRS-IN-COMMON.html	Fernando Bea, Pilar Montero, Miguel Ortega; A LA–ICP–MS EVALUATION OF Zr RESERVOIRS IN COMMON CRUSTAL ROCKS: IMPLICATIONS FOR Zr AND Hf GEOCHEMISTRY, AND ZIRCON-FORMING PROCESSES. The Canadian Mineralogist 2006;; 44 (3): 693–714. doi: https://doi.org/10.2113/gscanmin.44.3.693
