id;native_langs;other_langs;experience;written_en;written_fr;mt_tools;utility_mt_hal;free_text;accepted_conditions;expert;active;delete_history
1;anglais;français (bilingue);3-10;1;0;1;utile;;1;1;1;NULL
2;français;anglais (courant), allemand (moyen);<3;0;0;0;utile;;1;1;1;NULL
3;Roumain;"Anglais (courant); Français (courant) ";<3;0;0;0;utile;;1;1;1;NULL
4;français;anglais (courant), espagnol (courant);<3;0;0;0;na;;1;1;1;NULL
5;français;anglais (courant);<3;0;1;1;utile;;1;1;1;NULL
6;Roumain;"Anglais (courant); Français (courant) ";<3;0;0;0;utile;;1;1;1;NULL
7;Chinoise;Français (C1), Anglais (C1);<3;1;0;1;utile;;1;1;1;NULL
8;français;anglais (courant);10;1;1;1;utile;;1;0;1;NULL
9;Chinois;Français (bilingue), Anglais (courant);3-10;1;1;1;utile;;1;0;1;NULL
10;français;anglais, allemand;<3;1;1;1;utile;;1;1;1;NULL
11;Français;Espagnol, Anglais;<3;1;1;1;utile;;1;0;1;0
16;français;Anglais (courant);3-10;1;1;1;utile;;1;0;1;0
17;Français ;Anglais ;<3;1;1;1;utile;;1;0;1;0
18;français;anglais, espagnol;10;1;1;1;utile;;1;0;1;0
19;français;anglais (avancé), espagnol (moyen) ;10;1;1;1;utile;;1;0;1;0
20;français;anglais (courant), espagnol (courant);10;1;1;1;inutile;;1;0;1;0
21;Français;Anglais, espagnol;3-10;1;1;0;na;;1;0;1;0
22;français;anglais(courant);10;1;1;1;utile;;1;0;1;0
23;Français;Anglais (B2/C1);<3;0;1;0;utile;;1;0;1;0
24;français;anglais (courant);<3;1;1;1;utile;;1;0;1;0
25;français;anglais (courant), arabe (courant), kabyle (courant), espagnol (débutant);3-10;1;1;1;utile;;1;0;1;0
26;français;anglais (avancé), espagnol (intermédiaire), italien (intermédiaire), grec moderne (intermédiaire);<3;0;0;1;inutile;;1;0;1;0
27;français;anglais (courant);10;1;1;1;utile;;1;0;1;0
28;Français;Anglais (courant);3-10;1;1;1;utile;;1;0;1;0
29;français;anglais;<3;1;1;1;utile;;1;0;1;0
30;kabyle;anglais(courant), francais(courant),espagnol(professionel);<3;1;0;1;utile;;1;0;1;0
31;français;anglais (fluent), espagnol (intermediate);10;1;1;1;na;;1;0;1;0
32;français;anglais (courant), espagnol (intermédiaire), russe (notions);3-10;1;1;0;utile;;1;0;1;0
33;français;anglais;10;1;1;1;utile;;1;0;1;0
34;français;anglais;10;1;1;0;utile;;1;0;1;0
35;français;anglais (courant), allemand (élémentaire);<3;1;1;1;utile;;1;0;1;0
36;francais;anglais;<3;1;0;0;na;;1;0;1;0
37;français;anglais (avancé), italien (avancé);<3;1;0;1;utile;;1;0;1;0
