"id_hal","abstract_en","title","author_names","Article_id","Translation_text","Translation_id","trans_sys_id","Postedit_id","Postedit_text","user_id","start_time","end_time","translation_id","severity","prob_faithfulness","prob_grammar","prob_terminology","prob_style","prob_spelling_punctuation","prob_document","prob_other","free_text","search_time","tech_error"
"3325101","The curation of a knowledge base is a crucial but costly task. In this work, we suggest to make use of the advances in neural network research to improve the automated correction of constraint violations. Our method is a deep learning refinement of ""Learning how to correct a knowledge base from the edit history"", and similarly uses the edits that solved some violations in the past to infer how to solve similar violations in the present. Our system makes use of the graph content, literal embeddings, and features extracted from Web pages to improve its performance. The experimental evaluation on Wikidata shows significant improvements over baselines.","Neural Knowledge Base Repairs","Thomas Pellissier Tanon, Fabian Suchanek","5479","Réparations de la base de connaissances neuronale

La curation d'une base de connaissances est une tâche cruciale mais coûteuse. Dans ce travail, nous proposons d'utiliser les avancées de la recherche sur les réseaux neuronaux pour améliorer la correction automatique des violations de contraintes. Notre méthode est un raffinement par apprentissage profond de ""Apprendre comment corriger une base de connaissances à partir de l'historique des modifications"", et utilise de manière similaire les modifications qui ont résolu certaines violations dans le passé pour déduire comment résoudre des violations similaires dans le présent. Notre système utilise le contenu du graphe, les enchâssements littéraux et les caractéristiques extraites des pages web pour améliorer ses performances. L'évaluation expérimentale sur Wikidata montre des améliorations significatives par rapport aux lignes de base.","19966","3","11","Réparations de la base de connaissances neuronale

La curation d&#039;une base de connaissances est une tâche cruciale, mais coûteuse. Dans cet article, nous proposons d&#039;utiliser les avancées de la recherche sur les réseaux neuronaux pour améliorer la correction automatique des violations de contraintes. Notre méthode consiste en un raffinement par apprentissage profond de &quot;Comment corriger une base de connaissances à partir de l&#039;historique des modifications&quot;, et utilise de manière similaire les modifications qui ont résolu certaines violations antérieures pour déduire comment résoudre des violations actuelles similaires. Notre système utilise des graphes, des plongements lexicaux et des caractéristiques extraites des pages web pour améliorer ses performances. L&#039;évaluation expérimentale sur Wikidata montre des améliorations significatives par rapport aux lignes de base.","2","2023-05-30 20:21:12","2023-05-30 20:48:23","19966",,"1","2","2","2","1","1",NULL,,"2023-05-30 08:20:50","0"
"3616400","This paper introduces the first fine-grained modular tool for automatic summarization. Open source and written in Java, it is designed to be as straightforward as possible for endusers. Its modular architecture is meant to ease its maintenance and the development and integration of new modules. We hope that it will ease the work of researchers in automatic summarization by providing a reliable baseline for future works as well as an easy way to evaluate methods on different corpora.","A Modular Tool for Automatic Summarization","Valentin Nyzam, Aurélien Bossard","797","Outil modulaire pour synthèse automatique

Cet article présente le premier outil modulaire à grain fin pour la synthèse automatique. Open source et écrit en Java, il est conçu pour être aussi simple que possible pour les utilisateurs finaux. Son architecture modulaire est destinée à faciliter sa maintenance et le développement et l'intégration de nouveaux modules. Nous espérons que cela facilitera le travail des chercheurs dans la synthèse automatique en fournissant une base fiable pour les travaux futurs ainsi qu'un moyen facile d'évaluer les méthodes sur différents corps.","4544","6","12","Outil modulaire de synthèse automatique

Cet article présente le premier outil modulaire de synthèse automatique à granulité fine. Open source et écrit en Java, il est conçu pour être aussi simple que possible pour les utilisateurs finaux. Son architecture modulaire est destinée à faciliter sa maintenance ainsi que le développement et l&#039;intégration de nouveaux modules. Nous espérons que cela facilitera le travail des chercheurs dans la synthèse automatique en fournissant une base fiable pour les travaux futurs ainsi qu&#039;un moyen facile d&#039;évaluer les méthodes sur différents corpus.","2","2023-05-31 11:23:19","2023-05-31 11:38:15","4544",,"2","3","2","1","2","1",NULL,,"2023-05-31 11:23:06","0"
"3344434","We propose in this paper a statistical model in the perspective of predicting listener's feedbacks in a conversation. The first contribution of the paper is a study of the prediction of all feedbacks, including those in overlap with the speaker with a good accuracy. Existing model are good at predicting feedbacks during a pause, but reach a very low success level for all feedbacks. We give in this paper a first step towards this complex problem. The second contribution is a model predicting precisely the type of the feedback (generic vs. specific) as well as other specific features (valence expectation) useful in particular for generating feedbacks in dialogue systems. This work relies on an original corpus.","A Multimodal Model for Predicting Conversational Feedbacks","Auriane Boudin, Roxane Bertrand, Stéphane Rauzy, Magalie Ochs, Philippe Blache","5427","Un modèle multimodal pour prédire les réactions conversationnelles

Nous proposons dans cet article un modèle statistique dans la perspective de prédire les réactions de l'auditeur dans une conversation. La première contribution de l'article est une étude de la prédiction de tous les feedbacks, y compris ceux qui se chevauchent avec le locuteur, avec une bonne précision. Les modèles existants sont efficaces pour prédire les feedbacks pendant une pause, mais atteignent un niveau de réussite très bas pour tous les feedbacks. Nous présentons dans cet article un premier pas vers ce problème complexe. La deuxième contribution est un modèle prédisant précisément le type de feedback (générique vs. spécifique) ainsi que d'autres caractéristiques spécifiques (attente de valence) utiles en particulier pour générer des feedbacks dans les systèmes de dialogue. Ce travail s'appuie sur un corpus original.","19914","3","24","Un modèle multimodal de prédiction des retours conversationnels

Nous proposons dans cet article un modèle statistique visant à prédire les retours de l&#039;auditeur lors d&#039;une conversation. La première contribution de l&#039;article est une étude de la prédiction de tous les retours, y compris ceux se chevauchant avec le locuteur, avec une bonne précision. Les modèles existants sont efficaces pour prédire les retours pendant une pause, mais atteignent un niveau de réussite très bas pour les retours dans leur ensemble. Cet article présente une première approche vers la résolution de ce problème complexe. La deuxième contribution est un modèle prédisant précisément le type de retour (générique ou spécifique) ainsi que d&#039;autres caractéristiques spécifiques (attente de valence) utiles en particulier pour générer des retours dans les systèmes de dialogue. Ce travail s&#039;appuie sur un corpus original.","2","2023-05-31 11:42:33","2023-05-31 11:57:09","19914",,"2","1","3","1","1","2",NULL,,"2023-05-31 11:41:34","0"
"3551922","False data injection is an attack in which an attacker injects fabricated data into a system with the objective to change the behaviour and the decision-making of the system. Many industrial data-based devices are vulnerable to such attacks, this work presents an approach for testing False Data Injection Attack. This approach uses a Domain-Specific Language to generate altered data with two objectives, to provide sophisticated attacks scenarios to increase the resilience of vulnerable systems against False Data Injection Attack and to train detection tools.","An Approach for Testing False Data Injection Attack on Data Dependent Industrial Devices","Mathieu Briland, Fabrice Bouquet","4938","Une approche pour tester les attaques par injection de fausses données sur les appareils industriels dépendant des données

L'injection de fausses données est une attaque dans laquelle un attaquant injecte des données fabriquées dans un système dans le but de modifier le comportement et la prise de décision du système. De nombreux dispositifs industriels basés sur des données sont vulnérables à de telles attaques. Ce travail présente une approche pour tester l'attaque par injection de fausses données. Cette approche utilise un langage spécifique au domaine pour générer des données altérées avec deux objectifs : fournir des scénarios d'attaques sophistiqués pour augmenter la résilience des systèmes vulnérables contre l'attaque par injection de fausses données et former les outils de détection.","17590","3","25","Approche de détection des attaques par injection de fausses données sur les dispositifs industriels s&#039;appuyant sur des données

L&#039;injection de fausses données est une attaque consistant à injecter des données fabriquées dans un système, dans le but de modifier le comportement et la prise de décision de celui-ci. De nombreux dispositifs industriels s&#039;appuyant sur des données sont vulnérables à de telles attaques. Cet article présente une approche pour détecter les attaques par injection de fausses données. Cette approche utilise un langage spécifique au domaine pour générer des données altérées avec deux objectifs : fournir des scénarios d&#039;attaques sophistiqués pour augmenter la résilience des systèmes vulnérables face aux attaques par injection de fausses données, et entraîner les outils de détection.","2","2023-05-31 14:12:27","2023-05-31 14:26:19","17590",,"1","2","2","3","2","1",NULL,,"2023-05-31 02:12:03","0"
"3769290","In this paper, our goal is to compare different recent time-frequency (TF) approaches to retrieve the modes of multicomponent signals (MCSs). While it is acknowledged that the synchrosqueezing transform (SST) improves the readability of the time-frequency representation (TFR) of the modes of MCSs, and that SST-based demodulation (DSST) is more efficient than SST itself for mode retrieval (MR), it is unclear whether DSST outperforms downsampled short-time Fourier transform (STFT) in that matter. The goal of the present paper is to answer this question and to propose a variant of DSST that reduces mode-mixing. The focus is put on the sensitivity of the different techniques to frequency modulation for the modes and frequency resolution.","On the use of short-time Fourier transform and synchrosqueezing-based demodulation for the retrieval of the modes of multicomponent signals","Sylvain Meignen, Duong-Hung Pham, Marcelo Colominas","598","Utilisation d'une transformée de Fourier de courte durée et démodulation basée sur la synchronisation pour la récupération des modes de signaux multicomposants

Dans cet article, notre objectif est de comparer différentes approches temporelles-fréquentielles (TF) récentes pour récupérer les modes de signaux multicomposants (MCS). Bien qu'il soit reconnu que la transformée de synchronisation (SST) améliore la lisibilité de la représentation temps-fréquence (TFR) des modes des MCS, et que la démodulation basée sur SST (DSST) est plus efficace que SST elle-même pour la récupération de mode (MR), il n'est pas clair si DSST surpasse la transformée de Fourier à court terme sous-échantillonnée (STFT) en la matière. Le but du présent document est de répondre à cette question et de proposer une variante de DSST qui réduit le mélange de modes. L'accent est mis sur la sensibilité des différentes techniques à la modulation de fréquence pour les modes et la résolution en fréquence.","4345","6","26","Utilisation d&#039;une transformée de Fourier de courte durée et d&#039;une démodulation basée sur le synchrosqueezing pour la récupération des modes de signaux multicomposants

Dans cet article, notre objectif est de comparer différentes approches temps-fréquence (TF) récentes pour récupérer les modes de signaux multicomposants (MCS). Bien qu&#039;il soit reconnu que la transformée de synchrosqueezing (SST) améliore la lisibilité de la représentation temps-fréquence (TFR) des modes des MCS, et que la démodulation basée sur SST (DSST) est plus efficace que SST elle-même pour la récupération de mode (MR), il n&#039;est pas clair si la DSST surpasse la transformée de Fourier à court terme sous-échantillonnée (STFT) en la matière. Le but du présent document est de répondre à cette question et de proposer une variante de la DSST qui réduit le mode-mixing. L&#039;accent est mis sur la sensibilité des différentes techniques à la modulation de fréquence pour les modes et la résolution en fréquence.","2","2023-05-31 14:51:13","2023-05-31 15:07:20","4345",,"2","2","4","2","2","3",NULL,,"2023-05-31 02:26:19","0"
"3179162","Most evolutionary algorithms concerned with a memory of evolution aim at memorizing and reusing the recipes of past successes (e.g. fruitful operators or fruitful mutation directions). The scheme proposed here follows the opp opposite track, and memorizes the past failures of evolution (unfit offspring) through a virtual individual termed the virtual loser. The underlying metaphor is that offspring should attempt to get further away from the virtual loser than their parents. This is done by a new evolution operator, termed flee-mutation, as an alternative to standard recombination and mutation. Special attention is paid to adjusting the flee-mutation step size. Experiments on large sized problems validate this approach and unexpectedly show that a constant flee-mutation step size over a population is desirable.","Toward civilized evolution: developping inhibitions","Michèle Sebag, Marc Schoenauer, Caroline Ravisé","1171","Vers une évolution civilisée : développer des inhibitions

La plupart des algorithmes évolutionnaires concernés par une mémoire de l'évolution visent à mémoriser et réutiliser les recettes des succès passés (par exemple opérateurs féconds ou directions de mutation fécondes). Le schéma proposé ici suit la piste opp opposée, et mémorise les échecs passés de l'évolution (descendance inapte) à travers un individu virtuel appelé le perdant virtuel. La métaphore sous-jacente est que la progéniture devrait essayer de s'éloigner plus du perdant virtuel que ses parents. Ceci est fait par un nouvel opérateur d'évolution, appelé fugue-mutation, comme alternative à la recombinaison et mutation standard. Une attention particulière est accordée à l'ajustement de la taille du pas de mutation de la puce. Des expériences sur des problèmes de grande taille valident cette approche et montrent de façon inattendue qu'une taille constante de mutation de fuite sur une population est souhaitable.","5416","6","27","Vers une évolution civilisée : développer des inhibitions

La plupart des algorithmes évolutionnaires utilisant une mémoire de l&#039;évolution visent à mémoriser et réutiliser les recettes des réussites précédentes (des opérateurs ou directions de mutation adaptés, par exemple). Le schéma proposé ici suit une approche contraire, et mémorise les échecs passés de l&#039;évolution (descendance inapte) à travers un individu virtuel appelé le perdant virtuel. La métaphore sous-jacente est que le descendant devrait être plus éloigné du perdant virtuel que ses parents. Cela se fait par un nouvel opérateur d&#039;évolution, appelé mutation de fuite, comme alternative à la recombinaison et mutation standard. Une attention particulière est accordée à l&#039;ajustement de la taille des étapes de mutation de fuite. Des expériences sur des problèmes à grande échelle valident cette approche et montrent de façon inattendue qu&#039;une taille constante des étapes de mutation de fuite sur une population est souhaitable.","2","2023-05-31 16:30:50","2023-05-31 16:55:14","5416",,"2","2","4","3","1","4",NULL,,"2023-05-31 04:30:40","0"
"3448724","Self-Supervised Learning (SSL) using huge unlabeled data has been successfully explored for image and natural language processing. Recent works also investigated SSL from speech. They were notably successful to improve performance on downstream tasks such as automatic speech recognition (ASR). While these works suggest it is possible to reduce dependence on labeled data for building efficient speech systems, their evaluation was mostly made on ASR and using multiple and heterogeneous experimental settings (most of them for English). This questions the objective comparison of SSL approaches and the evaluation of their impact on building speech systems. In this paper, we propose LeBenchmark: a reproducible framework for assessing SSL from speech. It not only includes ASR (high and low resource) tasks but also spoken language understanding, speech translation and emotion recognition. We also focus on speech technologies in a language different than English: French. SSL models of different sizes are trained from carefully sourced and documented datasets. Experiments show that SSL is beneficial for most but not all tasks which confirms the need for exhaustive and reliable benchmarks to evaluate its real impact. LeBenchmark is shared with the scientific community for reproducible research in SSL from speech.","LeBenchmark: A Reproducible Framework for Assessing Self-Supervised Representation Learning from Speech","Solène Evain, Ha Nguyen, Hang Le, Marcely Zanon Boito, Salima Mdhaffar, Sina Alisamir, Ziyi Tong, Natalia Tomashenko, Marco Dinarelli, Titouan Parcollet, Alexandre Allauzen, Yannick Estève, Benjamin Lecouteux, François Portet, Solange Rossato, Fabien Ringeval, Didier Schwab, Laurent Besacier","5183","LeBenchmark: Un cadre reproductible pour évaluer l’autosurveillance de la représentation Apprentissage de la parole

L’apprentissage autonome (SSL) utilisant d’énormes données non étiquetées a été exploré avec succès pour le traitement de l’image et du langage naturel. Des travaux récents ont également étudié SSL à partir de la parole. Ils ont notamment réussi à améliorer les performances sur les tâches en aval telles que la reconnaissance automatique de la parole (ASR). Bien que ces travaux suggèrent qu’il est possible de réduire la dépendance à l’égard des données étiquetées pour construire des systèmes de parole efficaces, leur évaluation a été principalement effectuée sur ASR et en utilisant des paramètres expérimentaux multiples et hétérogènes (la plupart d’entre eux pour l’anglais). Cela remet en question la comparaison objective des approches SSL et l’évaluation de leur impact sur la construction de systèmes de parole. Dans cet article, nous proposons LeBenchmark: un cadre reproductible pour évaluer SSL à partir de la parole. Il comprend non seulement les tâches ASR (haute et faible ressource), mais aussi la compréhension du langage parlé, la traduction de la parole et la reconnaissance des émotions. Nous nous concentrons également sur les technologies de la parole dans une langue différente de l’anglais: Français. Les modèles SSL de différentes tailles sont formés à partir d’ensembles de données soigneusement obtenus et documentés. Les expériences montrent que SSL est bénéfique pour la plupart des tâches, mais pas toutes, ce qui confirme la nécessité de benchmarks exhaustifs et fiables pour évaluer son impact réel. LeBenchmark est partagé avec la communauté scientifique pour la recherche reproductible en SSL à partir de la parole.","11970","4","69","LeBenchmark, un cadre reproductible pour l&#039;évaluation de l&#039;apprentissage de représentations autosupervisé par la parole
L&#039;exploration de l&#039;apprentissage auto-supervisé (SSL) utilisant une large quantité de données non étiquetées fut un succès pour le traitement des images et du langage naturel. Des travaux récents ont également étudié le SSL par la parole. Ils ont notamment réussi à améliorer les performances sur les tâches en aval telles que la reconnaissance automatique de la parole (RAP). Bien que ces travaux suggèrent qu&#039;il est possible de réduire la dépendance aux données étiquetées pour construire des systèmes vocaux efficaces, leur évaluation a été principalement faite sur la RAP et en utilisant des paramètres expérimentaux multiples et hétérogènes (la plupart d&#039;entre eux pour l&#039;anglais). Cela remet en question la comparaison objective des approches de SSL et l&#039;évaluation de leur impact sur la construction de systèmes vocaux. Dans ce document, nous proposons LeBenchmark : un cadre reproductible pour évaluer le SSL à partir de la parole. Il comprend non seulement les tâches de RAP (à données importantes et réduites), mais aussi la compréhension du langage parlé, la traduction vocale et la reconnaissance des émotions. Nous nous concentrons également sur les technologies vocales dans une langue différente de l&#039;anglais : le français. Les modèles de SSL de différentes tailles sont formés à partir d&#039;ensembles de données soigneusement sélectionnés et documentés. Des expériences montrent que le SSL est bénéfique pour la plupart des tâches, mais pas pour toutes, ce qui confirme la nécessité d&#039;avoir des références exhaustives et fiables pour évaluer son impact réel. LeBenchmark est partagé avec la communauté scientifique pour la recherche reproductible en SSL à partir de la parole.
","2","2023-06-06 15:15:27","2023-06-06 15:16:32","11970",,"1","4","3","1","4","1",NULL,,"2023-06-06 03:07:02","0"
"1789959","In this paper, we propose a new multi layer approach for automatic text summarization by extraction where the first layer constitute to use two techniques of extraction: scoring of phrases, and similarity that aims to eliminate redundant phrases without losing the theme of the text. While the second layer aims to optimize the results of the previous layer by the metaheuristic based on social spiders. the objective function of the optimization is to maximize the sum of similarity between phrases of the candidate summary in order to keep the theme of the text, minimize the sum of scores in order to increase the summarization rate, this optimization also will give a candidate’s summary where the order of the phrases changes compared to the original text.The third and final layer aims to choose the best summary from the candidate summaries generated by layer optimization, we opted for the technique of voting with a simple majority.","A New Multi-layered Approach for Automatic Text Summaries Mono-Document Based on Social Spiders","Mohamed Boudia, Reda Hamou, Abdelmalek Amine, Mohamed Rahmani, Amine Rahmani","3395","Une nouvelle approche multi-couches pour les résumés de texte automatiques mono-document basé sur les araignées sociales

Dans cet article, nous proposons une nouvelle approche multicouche pour la synthèse automatique du texte par extraction où la première couche constitue l’utilisation de deux techniques d’extraction: notation des phrases, et similitude qui vise à éliminer les phrases redondantes sans perdre le thème du texte. Alors que la deuxième couche vise à optimiser les résultats de la couche précédente par le métaheuristique basé sur les araignées sociales. la fonction objective de l’optimisation est de maximiser la somme des similitudes entre les phrases du résumé du candidat afin de conserver le thème du texte, de minimiser la somme des scores afin d’augmenter le taux de summarisation, cette optimisation donnera également le résumé d’un candidat où l’ordre des phrases change par rapport au texte original.La troisième et dernière couche vise à choisir le meilleur résumé des résumés des candidats générés par l’optimisation des couches, nous avons opté pour la technique de vote à la majorité simple.","2176","4","74","Une nouvelle approche multi-couches pour les résumés automatiques de texte mono-document s&#039;appuyant sur des social spiders

Dans cet article, nous proposons une nouvelle approche multi-couches pour les résumés automatique de texte par extraction, où la première couche consiste à utiliser deux techniques d’extraction : notation des phrases, et des similitudes visant à éliminer les phrases redondantes sans perdre le thème du texte. Alors que la deuxième couche vise à optimiser les résultats de la couche précédente par une métaheuristique s&#039;appuyant sur des social spiders, la fonction objective de l’optimisation est de maximiser la somme des similitudes entre les phrases du résumé du candidat afin de conserver le thème du texte, de minimiser la somme des scores afin d’augmenter le taux de synthèse, cette optimisation donnera également le résumé d’un candidat où l’ordre des phrases change par rapport au texte original. La troisième et dernière couche vise à choisir le meilleur résumé des résumés des candidats générés par l’optimisation des couches. Nous avons opté pour la technique de vote à la majorité simple.
","2","2023-06-06 17:16:03","2023-06-06 17:16:47","2176",,"2","3","4","3","3","2",NULL,,"2023-06-06 05:15:58","0"
"3925044","Islamophobia as a Form of Radicalisation discusses the scope and fragmented boundaries of Islamophobia as a concept and a sociopolitical reality. The fifteen chapters of this collection cover and connect interdisciplinary research, media content analyses, media discourse analysis, ethnographic research, intersectoral advocacy work, and action research conducted in Belgium, Canada, France, Germany, Poland, Portugal, and Spain. Confronted with an Islamophobia that is growing as a symptom of broader societal malaise in the West, a resistance against it is also arising. It is now a question of better understanding the foundations and mechanism of this metasolidarity and resistance. Islamophobia as a Form of Radicalisation offers recommendations for urgent consideration by Muslim citizens of Canada and Europe, media professionals, civil society and academic stakeholders, policymakers at the municipal, provincial and federal levels, and academics.","Islamophobia in the right-wing Portuguese opinion press (2015-2020)","Colin Robineau","3944","L'islamophobie dans la presse d'opinion portugaise de droite (2015-2020)

L'islamophobie en tant que forme de radicalisation examine la portée et les limites fragmentées de l'islamophobie en tant que concept et réalité sociopolitique. Les quinze chapitres de ce recueil couvrent et relient des recherches interdisciplinaires, des analyses du contenu des médias, des analyses du discours des médias, des recherches ethnographiques, des travaux de plaidoyer intersectoriels et des recherches-actions menées en Belgique, au Canada, en France, en Allemagne, en Pologne, au Portugal et en Espagne. Face à une islamophobie croissante, symptôme d'un malaise sociétal plus large en Occident, une résistance à cette islamophobie est également en train de naître. Il s'agit maintenant de mieux comprendre les fondements et les mécanismes de cette métasolidarité et de cette résistance. L'islamophobie comme forme de radicalisation propose des recommandations que les citoyens musulmans du Canada et d'Europe, les professionnels des médias, les acteurs de la société civile et du monde universitaire, les décideurs politiques aux niveaux municipal, provincial et fédéral, ainsi que les universitaires doivent examiner de toute urgence.","18760","3","98","L&#039;islamophobie dans la presse d&#039;opinion portugaise de droite (2015-2020)

L&#039;islamophobie en tant que forme de radicalisation examine la portée et les limites fragmentées de l&#039;islamophobie en tant que concept et réalité sociopolitique. Les quinze chapitres de ce recueil couvrent et mettent en rapport des recherches interdisciplinaires, des analyses du contenu médiatique, des analyses du discours médiatique, des recherches ethnographiques, des efforts intersectoriels de défense des droits et des recherches-actions menées en Belgique, au Canada, en France, en Allemagne, en Pologne, au Portugal et en Espagne. Face à une islamophobie croissante, symptôme d&#039;un malaise sociétal plus large en Occident, une résistance à cette islamophobie est également en train de naître. Il s&#039;agit maintenant de mieux comprendre les fondements et les mécanismes de cette métasolidarité et de cette résistance. L&#039;islamophobie comme forme de radicalisation propose des recommandations que les citoyens musulmans du Canada et d&#039;Europe, les professionnels des médias, les acteurs de la société civile et du monde universitaire, les décideurs politiques aux niveaux municipal, provincial et fédéral, ainsi que les universitaires doivent examiner de toute urgence.","2","2023-06-12 12:03:24","2023-06-12 12:23:49","18760",,"1","2","1","2","1","1",NULL,,"2023-06-12 11:36:47","0"
"3979568","RiC-O Converter is an open-source command-line tool to convert EAD finding aids and EAC-CPF authority records to RDF files conforming to ICA Records in Contexts ontology (RiC-O), in a robust manner. It was developed for the Archives nationales of France (ANF) but is aimed to be reused by other archival institutions, and to this aim is fully documented in English. It is based on XSLT stylesheets that take into account the variability of EAD content. It enabled the ANF to convert 15400 EAC-CPF files and 31000 EAD files into an homogeneous knowledge graph, and to start a more specific project aiming to provide end users with an intuitive search interface for a significant subset of this graph, opening new perspectives for navigating and linking from/to archival metadata.","RiC-O Converter: a Software to Convert EAC-CPF and EAD 2002 XML files to RDF Datasets Conforming to Records in Contexts Ontology","Florence Clavaud, Thomas Francart, Pauline Charbonnier","370","RiC-O Converter : un logiciel pour convertir les fichiers XML EAC-CPF et EAD 2002 en ensembles de données RDF conformes à l'ontologie Records in Contexts

RiC-O Converter est un outil open-source en ligne de commande pour convertir les instruments de recherche EAD et les notices d'autorité EAC-CPF en fichiers RDF conformes à l'ontologie Records in Contexts (RiC-O) de l'ICA, d'une manière robuste. Il a été développé pour les Archives nationales de France (ANF) mais est destiné à être réutilisé par d'autres institutions d'archives, et à cette fin est entièrement documenté en anglais. Il est basé sur des feuilles de style XSLT qui prennent en compte la variabilité du contenu EAD. Il a permis à l'ANF de convertir 15400 fichiers EAC-CPF et 31000 fichiers EAD en un graphe de connaissances homogène, et de lancer un projet plus spécifique visant à fournir aux utilisateurs finaux une interface de recherche intuitive pour un sous-ensemble significatif de ce graphe, ouvrant de nouvelles perspectives pour la navigation et la création de liens à partir de métadonnées d'archives.","10124","3","107","RiC-O Converter : un logiciel pour convertir les fichiers XML EAC-CPF et EAD 2002 en ensembles de données RDF conformes à l&#039;ontologie Records in Contexts

RiC-O Converter est un outil open-source en ligne de commande pour convertir de manière fiable les instruments de recherche EAD et les notices d&#039;autorité EAC-CPF en fichiers RDF conformes à l&#039;ontologie Records in Contexts (RiC-O) de l&#039;ICA. Il a été développé pour les Archives nationales de France (ANF) mais est destiné à être réutilisé par d&#039;autres institutions d&#039;archives, et à cette fin est entièrement documenté en anglais. Il est basé sur des feuilles de style XSLT qui prennent en compte la variabilité du contenu EAD. Il a permis à l&#039;ANF de convertir 15400 fichiers EAC-CPF et 31000 fichiers EAD en un graphe de connaissances homogène, et de lancer un projet plus spécifique visant à fournir aux utilisateurs finaux une interface de recherche intuitive pour un sous-ensemble significatif de ce graphe, ouvrant de nouvelles perspectives pour la navigation et la création de liens à partir de métadonnées d&#039;archives.","2","2023-06-13 12:11:53","2023-06-13 12:16:11","10124",,"1","1","1","2","1","1",NULL,,"2023-06-13 12:11:45","0"
